"checked_at","status","metadata_status","reason","step","topic","language","is_primary","video_title","channel","youtube_url"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","1","What is Power BI","pt","true","Curso Básico Power BI - Aula 1 - Introdução ao Power BI","Hashtag Treinamentos","https://www.youtube.com/watch?v=37oxzq2pSbI"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","1","What is Power BI","es","true","Curso de Power BI desde Cero (Completo)","to_validate","https://www.youtube.com/watch?v=vufMFnWpINo"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","1","What is Power BI","en","true","Power BI Beginner's Tutorial (2025)","Guy in a Cube","https://www.youtube.com/watch?v=MikekdopYhE"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","2","Import data","pt","true","Curso Básico de Power BI 2026","Hashtag Treinamentos","https://www.youtube.com/watch?v=7cUrsltJbEI"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","2","Import data","es","true","Curso de Microsoft Power BI desde cero | IMPORTAR DATOS","to_validate","https://www.youtube.com/watch?v=NcA8o79kZUI"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","2","Import data","en","true","Power BI Tutorial for Beginners (2025)","Kevin Stratvert","https://www.youtube.com/watch?v=VaOhNqNtGGE&t=80s"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","3","Power Query basics","pt","true","Curso Básico Power BI - Aula 2 - Editando a Base com Power Query","Hashtag Treinamentos","https://www.youtube.com/watch?v=vjsfAjfLimM"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","3","Power Query basics","es","true","Power Query desde Cero: Tutorial Completo para Principiantes","to_validate","https://www.youtube.com/watch?v=f3nEZo4b-Yg"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","3","Power Query basics","en","true","Power Query in 20 Minutes - How it Works","to_validate","https://www.youtube.com/watch?v=zgYZ0c0xvTk"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","4","Relationships","pt","true","Relacionamentos no Power BI em 15 minutos","Hashtag Treinamentos","https://www.youtube.com/watch?v=LRhc-zTkCLY"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","4","Relationships","es","true","Cómo crear relaciones Power BI - Curso de Power BI","to_validate","https://www.youtube.com/watch?v=CKg4P38oneY"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","4","Relationships","en","true","Learn Data Modelling & Star Schema for Power BI in 20 minutes","Chandoo","https://www.youtube.com/watch?v=4ePNrdxWtY0&t=138s"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","5","Basic DAX","pt","true","Curso Básico de Fórmulas DAX - Aula 2 - Criando Medidas no Power BI","Hashtag Treinamentos","https://www.youtube.com/watch?v=naCjJ2OWDBQ"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","5","Basic DAX","es","true","Curso de Cálculos DAX en Power BI desde CERO (Para principiantes)","to_validate","https://www.youtube.com/watch?v=k7sGvy6Jf7s"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","5","Basic DAX","en","true","Master These 10 DAX Functions to Level Up Your Power BI Skills (2025)","to_validate","https://www.youtube.com/watch?v=K-qhbO9mLFY"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","6","Basic visuals","pt","true","Como Criar um Dashboard em 15 Minutos - Power BI","Hashtag Treinamentos","https://www.youtube.com/watch?v=cLwA7_hW8dA"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","6","Basic visuals","es","true","POWER BI 2024 para Principiantes: Guía para Crear Informes desde 0","to_validate","https://www.youtube.com/watch?v=dw5R8y1XkYs"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","6","Basic visuals","en","true","Power BI Tutorial For Beginners | Create Your First Dashboard Now","Xelplus (Leila Gharani)","https://www.youtube.com/watch?v=c7LrqSxjJQQ"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","6","Basic visuals","en","false","The Amazing New Slicer and Card visual in Power BI (Tutorial)","Access Analytic","https://www.youtube.com/watch?v=8mQn7Dmr9fg"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","7","Simple layout","pt","true","Crie Seu Primeiro Dashboard no Power BI (Passo a Passo para Iniciantes) 2026","to_validate","https://www.youtube.com/watch?v=djYLACiDVcg"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","7","Simple layout","es","true","Crea un Dashboard Power BI Profesional en 2 Horas","to_validate","https://www.youtube.com/watch?v=YaiS6eWCFQQ"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","7","Simple layout","en","true","VISUAL DESIGN to Make ANY Power BI Report Look AMAZING","to_validate","https://www.youtube.com/watch?v=ly5KOgH3lUw"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","8","Publish","pt","true","Como Compartilhar Relatório Power BI para Fora da Empresa","Hashtag Treinamentos","https://www.youtube.com/watch?v=eV7asHYOrHE"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","8","Publish","es","true","Power BI: Roles, Licencias y Publicación paso a paso","to_validate","https://www.youtube.com/watch?v=qW-HKy02vmY"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","8","Publish","en","true","How to Publish Report to Power BI Service","to_validate","https://www.youtube.com/watch?v=_3YAB6dNQ18"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","3","Power Query basics","en","false","Power BI Beginner's Tutorial (2025) [former pick]","Guy in a Cube","https://www.youtube.com/watch?v=MikekdopYhE"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","5","Basic DAX","pt","false","Curso Básico de Fórmulas DAX - Aula 1 - Colunas Calculadas [former pick]","Hashtag Treinamentos","https://www.youtube.com/watch?v=EGgukRGLOK4"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","6","Basic visuals","pt","false","Curso Básico de Power BI 2026 [former pick]","Hashtag Treinamentos","https://www.youtube.com/watch?v=7cUrsltJbEI"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","6","Basic visuals","es","false","Como crear informes en Power BI [former pick]","to_validate","https://www.youtube.com/watch?v=X0D4zPeCPZ0"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","7","Simple layout","pt","false","Como Criar seu Primeiro Dashboard no Power BI [former pick]","Hashtag Treinamentos","https://www.youtube.com/watch?v=iH9Qx9R315A"
"2026-06-29 19:22:50","ok","to_validate","HTTP 200","8","Publish","pt","false","Curso Básico de Power BI 2026 [former pick]","Hashtag Treinamentos","https://www.youtube.com/watch?v=7cUrsltJbEI"
